"Stanza_text","ST_Correct","Title","Author","Year","Copyrighted","Tipo de rima","Información métrica",
"La catedral de Barcelona dice: 
Se levantan, palmeras de granito, 
desnudas mis columnas; en las bóvedas 
abriéndose sus copas se entrelazan, 
y del recinto en torno su follaje 
espeso cae hasta prender en tierra,
desgarrones dejando en ventanales, 
y cerrando con piedra floreciente 
tienda de paz en vasto campamento. 
Al milagro de fe de mis entrañas 
la pesadumbre de la roca cede, 
de su grosera masa se despoja 
mi fábrica ideal, y es sólo sombra, 
sombra cuajada en formas de misterio 
entre la luz humilde que se filtra 
por los dulces colores de alba eterna","None","?","Miguel de Unamuno",1936,"no","Sin rima",,
"No estás ya aquí. Lo que veo
de ti, cuerpo, es sombra, engaño.
El alma tuya se fue
donde tú te irás mañana.
Aún esta tarde me ofrece
falsos rehenes, sonrisas
vagas, ademanes lentos,
un amor ya distraído.
Pero tu intención de ir
te llevó donde querías,
lejos de aquí, donde estás
diciéndome:
aquí estoy contigo, mira.
Y me señalas la ausencia.","None","?","Pedro Salinas",1951,"si","Sin rima",,
"Perdóname, Fray luan, si profano tu lira
un tañido, un compás para
corresponderte y anularme.
Que tu lámpara era
la que me relumbraba en noche fria,
la que ardia a mi vera
y no se consumía.
Y ya me iba a dormir. Y amanecía.","None","Lámparas de fuego","Gerardo de Diego",1987,"si","Sin rima",,
"Es el sol un bello lucero,
que cada mañana me despierta al despuntar por el mar,
después de bañarse y asearse, sale reluciente
por el horizonte, entre las aguas mediterráneas
de mi tierra natal.
Aguas bendecidas por Dios
y que son junto a ti,
mi más bella inspiración.","None","De su libro: Amor en un suspiro","Vicente Devesa Llobel","?","si","Sin rima",,
"Como me gustaría poder ser voz,
como me gustaría poder ser alma,
como quisiera poder abrir los ojos
de personas ingratas que perdieron
la percepción de la línea del bien
y del mal.
Como quisiera ser luz,
como quisiera ser paz,
como quisiera ser amor,
un soplo de agua fresca
en este mundo de odio y rencor.","None","De su libro: Amor en un suspiro","Vicente Devesa Llobel","?","si","Sin rima",,
"A media luz
y entre sabanas robadas
me acurruco abrazado a la almohada,
abrazado a mis ilusiones
me deleito entre mis sueños.
A media luz
me pierdo en la oscuridad,
donde la mirada de la picara luna
me hace ver entre sombras
tu cuerpo desnudo.
Y aquí, a media luz,
junto al mar de la melancolía,
la espera se me hace eterna,
pero al final vale la pena
pues no hay nada
que me dé más placer
que ver tu cuerpo desnudo.
Piel de luna
que acaricia mis sueños
dándoles la vida que tanto deseo
pero que no poseo.","None","De su libro: Amor en un suspiro","Vicente Devesa Llobel","?","si","Sin rima",,
"Sentado al borde de la cama
recordando cada segundo vivido contigo
me lleno de recuerdos y a Dios le pido
que me alcance la vida
para decirte todo lo que siento,
nada me llena más
que el tiempo que tú me das.
Tantos momentos
que nadie podrá borrar,
recuerdo tus besos
que saben a dulce miel de azahar.
Sin tu amor nada soy
y si vuelvo a nacer,
a Dios le pido que me alcance la vida
para volverte a amar.
Abraza mi cuerpo y así
amarraditos cúbreme de besos
dime que me quieres y destroza mi cuerpo
con las alas de tu amor,
si es junto a ti
no me importa morir.
Que no se apague el fuego
que me amarren junto a ti,
no hay nadie que sepa amarme
como lo haces tú.
Castígame con el azahar de tus besos,
agarra mi pelo, destroza mi cuerpo
con las alas de tu amor
y así al borde de mi cama sigo
recordando cada segundo pasado junto a ¡ti!","None","De su libro: Amor en un suspiro","Vicente Devesa Llobel","?","si","Sin rima",,
"Ante la inmensidad del mar mediterráneo
plácidamente duermo,
qué bello es soñar tus besos,
el dulce sabor de tus labios
me devuelven la juventud perdida.
Ante la inmensidad del mar,
mis ojos se cierran y sueño que una lagrima tuya
resbala por tu mejilla,
mis labios la recogen,
la tibieza de tu mirada se junta con la
inmensidad del mar y ¡así! junto al azul
del cielo y el verde mar,
sueño con tu mirar.
Ojos azabaches, negros cabellos,
dulce sonrisa que por mi suspira,
mis ojos reposan ante un cielo azul
mi piel se estremece al sentir tu piel,
mi cuerpo rejuvenece al sentir tu cuerpo,
mis penas por fin desaparecen
y ante este mar mediterráneo
vivo soñando.","None","De su libro: Amor en un suspiro","Vicente Devesa Llobel","?","si","Sin rima",,
"Cada noche
dejo mi ventana entreabierta
esperando un soplo de aire fresco,
de mi alma un lamento
viene a romper el silencio desde
donde nacen mis sueños,
es entonces y solo entonces,
cuando la humedad
de tu cuerpo, hace que arda en deseos
de abrazar tu esbeltez
y mientras, ¡tú!
pintas de azabache tus sueños.
Por la mañana cuando despierto,
la tibia humedad de mis sabanas y
el rojo del carmín que dibujaron tus besos
me demuestra,
que no hay nada más real
que el amor que por ti yo siento.","None","De su libro: Amor en un suspiro","Vicente Devesa Llobel","?","si","Sin rima",,
"Hermoso mar,
unas veces bravo
otras sereno, hay días
que relajas mi alma
con bellas melodías
que me susurras al oído,
ante ti quedo extasiado,
atraído por tus reflejos
llenos de misterio.
Me conmueve tu inmensidad
que no es más que una
gota de roció.
En tus días bravos,
ahuyentas al mismo diablo
con tus rugidos,
coloso que levantas olas
espantando al más atrevido.
Ante ti, me quito el sombrero,
sabes ser tierno como un niño,
pero cuando te enfadas
no hay quien pueda contigo.
Hermoso mar, cada mañana ¡yo! te miro
y al ver tu majestuosidad suspiro
y pienso
¿Cómo habrá amanecido hoy con sus latidos?","None","De su libro: Amor en un suspiro","Vicente Devesa Llobel","?","si","Sin rima",,
"¡Sí! estoy enfermo,
enfermo de amor
de un amor eterno,
estabas ahí desde
hace tiempo,
yo te vi y caí enfermo,
de la fiebre casi muero,
por ver tu suave piel,
tú larga cabellera,
tus bellos ojos negros.
Mi corazón cabalga fuerte
mi sangre hierve
¿enfermo por ti? ¡No!
enfermo de ¡ti!
de tu respiración
de tus besos.
A tu lado, mi corazón
bombea la abrasadora sangre
que corre por mis venas,
pero si mis ojos no te ven,
mi corazón se para sin remedio,
al fin y al cabo, ¿Qué más da?
contigo o sin ti,
de amor estoy enfermo.","None","De su libro: Amor en un suspiro","Vicente Devesa Llobel","?","si","Sin rima",,
"Fue un amigo quien me dijo
mueve tu pluma,
no dejes jamás de escribir,
yo le pregunte,
¿Qué voy a escribir yo?
él me dijo escribe poemas,
que tu corazón mande
sobre tus letras y un día serás poeta,
escribe versos de amor, mas no de penas,
yo no escribo a las penas le dije,
pero si al amor, aunque a veces
el amor, también da pena.
Así es el amor, gran pasión,
rugido del mar cuando escupe el sol,
burbujas flotando cuando sale
la luna nadando y estrellas en el cielo
cuando tu cuerpo desnudo
abraza mi cuerpo sediento,
¡sí! amigo, escribiré al amor y nunca a las penas,
aunque te advierto amigo que a veces
el amor es pura pena.","None","De su libro: Amor en un suspiro","Vicente Devesa Llobel","?","si","Sin rima",,
