Sentence;Metaphor
Considerate che il nostro sistema sanitario nazionale e il sistema della ricerca in campo scientifico clinico farmacologico sono due risorse di valore inestimabile che dobbiamo rafforzare, che dobbiamo proteggere.  ;NONE
Allo stesso tempo dobbiamo salvaguardare la capacità finanziaria dei nostri enti locali a partire dai comuni, che è il volto dello stato più prossimo e cittadini, che possono erogare servizi pubblici di qualità e assicurare reti di protezione sociale solide resilienti durante queste settimane di lotta contro la diffusione del coronavirus.;COVID
Un ringraziamento sia alle associazioni di categoria e dei datori di lavoro sia alle associazioni di categoria e sindacali perché stanno dimostrando un grande responsabilità in questa fase emergenziale. ;NONE
Dobbiamo approfittare per svolgere questa emergenza, questo shock, di origine esogena, una opportunità di rilancio dell'intero sistema socio-economico lungo un sentiero di crescita equa e sostenibile queste settimane di lotta e di battaglia contro la diffusione coronavirus.;COVID
Informativa mi consente di offrire al parlamento un quadro compiuto delle più recenti iniziative che il governo ha adottato sul piano interno e anche un aggiornamento sulle iniziative che a livello europeo sono in programma per fronteggiare l'emergenza epidemiologica da covid-19 questo passaggio viene compiuto nella chiara consapevolezza.;COVID
Sotto il profilo della risposta sanitaria dell' emergenza il governo ha lavorato in queste ultime settimane in particolare ad una strategia e la possiamo sintetizzare in cinque punti.;NONE
1. Far rispettare a tutti i livelli le misure per il distanziamento sociale, promuovere l'utilizzo diffuso dei dispositivi di protezione individuale fino a quando non saranno disponibili una specifica terapia o un vaccino;NONE
2. Rafforzare le reti sanitarie del territorio come arma principale per combattere il virus.;COVID
Pensate un po' chi se lo immaginava. è una prova durissima che proviene da fattori esogeni per i quali quindi non ci possiamo imputare nulla. ;NONE
Il virus, questo virus, questo nemico è invisibile, non conosce confini e come il vento soffia dove vuole perché sta noi e continuare ad affrontare questa sfida con coraggio determinazione, responsabilità e queste qualità dobbiamo aggiungere anche un'altra qualità. ;COVID
Che rivendico come un segnale da parte del governo di massima attenzione al mondo del lavoro la firma avvenuta il 14 marzo, dopo 12 ore di intenso lavoro e confronto con i sindacati e le associazioni, di un protocollo condiviso di regolamentazione delle misure per il contrasto del virus nei luoghi di lavoro nel presupposto che la prosecuzione dell'attività lavorativa posso venire solo in presenza di condizioni che assicurino alle persone adeguati livelli di protezione.;COVID
Le nostre misure di cautela sono di massimo rigore e confidiamo che in virtù della combinazione di un sistema sanitario di eccellenza e di una linea di una indirizzo anche di politica Sanitaria di Massimo rigore noi dovremo nei prossimi giorni produrre un effetto contenitivo della diffusione del virus;COVID
Il significativo tasso di contagio attribuito al covid-19 con la previsione di una diffusione incontrollata del virus ha posto subito all'attenzione delle autorità sanitarie la realistica possibilità di un sovraccarico del sistema sanitario rispetto alla necessità di erogare cure che con particolare riguardo alla popolazione più debole più anziana richiedono interventi di terapia intensiva e subintensiva con un tasso di ospedalizzazione difficilmente sostenibile dall'intero sistema sanitario nazionale.;COVID
Pensate un po' chi se lo immaginava. è una prova durissima che proviene da fattori esogeni per i quali quindi non ci possiamo imputare nulla. ;NONE
 virus, questo virus, questo nemico è invisibile, non conosce confini e come il vento soffia dove vuole perché sta noi e continuare ad affrontare questa sfida con coraggio determinazione, responsabilità e queste qualità dobbiamo aggiungere anche un'altra qualità. ;COVID
Ci piacerebbe consentire un pieno ripristino di tutte le ordinarie abitudini di vita dei cittadini. Dobbiamo avere consapevolezza che il virus sta continuando a circolare.;COVID
Nella nostra comunità abbiamo 105.000, non pochi, 105.000 casi positivi accertati. Senza considerare anche i casi di contagiati asintomatici non accertati che secondo ragionevoli proiezioni statistiche sarebbero anche molti di più.;NONE
Tenendo sempre bene a mente che questa nuova fase sarà una fase di convivenza con il virus e non purtroppo come qualcuno forse si era illuso di liberazione dal virus. Siamo ancora dentro la pandemia, non siamo usciti, questo bisogna dirlo chiaro.;COVID
e questa torma di emigranti, ignorante perfino della lingua del paese, non fornì alla società americana liberi cittadini come loro speravano, ma nuove schiere di bruti proletari.;MIGRA
Così che siamo ancora lontani dalla risoluzione dell'incidente con l’Argentina. Intanto da informazioni assunte da ottima fonte risulta che il Commissariato, sicuro delle misure prese e della vigilanza esercitata, reputa che un minimo contingente di emigranti riesca a eludere clandestinamente il decreto;MIGRA
Vero è che energia e sollecitudine occorrono soprattutto ora, poiché il corrente mese è quello in cui l'emigrazione temporanea si accingeva a salpare per il Piata, dove trovava i grani maturi per essere mietuti. Ma certamente il Commissariato di emigrazione vigilerà ora più che mai. (;NONE
ttorno ad Atene, fuori dei confini del Regno, in Epiro, nella Macedonia, per tutte le coste dell'Asia Minore, in Egitto sono disseminate mille colonie greche - rimaste intatte con i loro traffici, le loro scuole, le loro chiese: le tre grandi forze elleniche - che spingono ogni anno piccoli eserciti di emigranti alla conquista di altre nuove colonie.;MIGRA
Considerato che, commettendo il lavoro a case estere, oltre a recare danno non lieve all'industria italiana, si fanno risentire gravissime conseguenze alla ricchezza nazionale, e soprattutto alla classe lavoratrice, che, specialmente nel nostro Paese, attraverso, una crisi continua di lavoro, tanto e vero che precisamente l'Italia è la nazione che dà il maggior contingente di emigranti, che di anno in anno va aumentando, cercando in terre straniere quel lavoro e quel pane che la patria nega loro;MIGRA
Nella notte profonda del mare passa una nave. Quivi un’orda di emigranti sogna, medita e spera alla ricerca di una terra felice;MIGRA
Però da qualche tempo l'immigrazione italiana nella Repubblica Argentina segna una specie di stasi. Le cattive condizioni finanziarie del paese possono forse spiegare il fenomeno, ma sarebbe duro assai per l'avvenire d'Italia se quella corrente immigratoria che si è ora stabilita da tanti anni avesse a perdere della sua forza, se avesse a cessare quel flusso di emigranti italiani in Argentina che veniva di continuo a portare nuovo sangue nell'elemento italiano o ad aumentarne la forza economica;MIGRA
". Queste correnti di emigranti, che si diffondono per tutto il mondo, portano seco gran parte dell'anima nazionale, e,come nel medio-evo nelle nostre repubbliche marinaresche, questo movimento sarà fecondo di un migliore 
avvenire economico e politico per la Patria italiana";MIGRA
I fattori essenziali del loro successo non fermentarono nel loro cervello, ma operarono al di fuori di loro, e loro investirono nelle correnti dei nuovi immigrati che domandavano comunicazioni, acciaio e vettovaglie e ceravano lavoro.;MIGRA
Intanto se il Governo argentino non acconsentirà a rinunziare alla quarantena e ai controlli sanitari, il Governo italiano incanalerà altrove la corrente emigratoria di cui quest'anno di cui l'Argentina ha innegabile necessità;MIGRA
La manodopera slovena della Carniola non basta più. Per questo sono state assorbite correnti di emigranti regnicoli.;MIGRA
In secondo luogo, negli ultimi cinquant’anni si è rovesciata sul nuovo mondo un'onda formidabile di emigranti europei:;MIGRA
prima inglesi e tedeschi, poi russi, ungheresi, italiani, scandinavi. Tutti costoro, e specialmente il secondo gruppo di emigranti, uscivano dai bassifondi delle Società che abbandonavano, ed arrivando nel nuovo paese, si trovavano in condizioni di grande inferiorità materiale e morale di fronte ai vecchi cittadini americani, padroni del «luogo ed educati ad un regime di libertà e di eguaglianza.;NONE
Ritrovate le vie classiche fra golfo e golfo, riattivata la navigazione, la navigazione costiera alla vela, l'armatore e il marinaio greco hanno poi comprato in Inghilterra a peso di metallo un veloce piroscafo a ruote e l'hanno trascinato per tutte le insenature delle isole e del litorale, dovunque c'era da imbarcare un quintale di fichi secchi, da caricare come merce un emigrante a pochi soldi, da far traffico di una bottiglia di mastica o d'un pacchetto di sigarette di contrabbando;MIGRA
Ci telegrafano da New York, 25, ore 13,10: Il vapore Liritania, della Fabro Line, proveniente da Napoli, con un carico di 800 emigranti, fu trattenuto in quarantena, avendo avuto a bordo, durante la traversata, dei casi di vaiolo.;MIGRA
Stamane, specie al porto, dovunque le operazioni furono arrestate. L'ostruzionismo acquistò carattere-di vera, gravità quando fu applicato all'arrivo del piroscafo Hamburg dell'America, carico di 1200 emigranti, i quali non potettero ancora uscire dalla sala di visita.;MIGRA
Ma, data la grande massa degli emigranti, quante scuola elementari occorrerebbero per accogliere tonte migliaia di fanciulli?;MIGRA
Nella seduta antimeridiana di stamane si discute la relazione fatta, ieri dall’Onorevole Orlandini sulla opportunità dell'iniziativa privata per l'istruzione elementare nel Regno, contro l'analfabetismo della massa emigrante.;MIGRA
Il premier italiano ha anche avanzato un'ipotesi di lavoro per superare le resistenze di Parigi e Berlino, preoccupate entrambe di un'ulteriore invasione di immigrati visto che nei loro territori sono presenti già grosse comunità turche.;MIGRA
Gli americani possono permettersi di fare la voce grossa, rischiano ben poco sia in termini di invasione di immigrati sia in termini di rischio di trovarsi con i rubinetti chiusi;MIGRA
Da febbraio ad ora siamo stati messi in guardia varie volte dal rischio di invasioni di milioni di immigrati. A Lampedusa ne sono arrivati cinquantacinquemila, certamente non pochi. (;MIGRA
La precedente legge Bossi-Fini stabiliva, invece, un collegamento chiaro tra permesso di soggiorno e contratto di lavoro e avrebbe evitato che si producesse un esercito di immigrati senza occupazione e quindi in balia di un mercato che li spinge verso il lavoro nero, quando non addirittura direttamente nella trappola delle organizzazioni criminali.;MIGRA
L'emergenza, dunque, valica il Mediterraneo e si estende all'Atlantico, ridicolizzando la proposta di soluzione avanzata ieri da alcuni dei leader della Lega: prendere a cannonate le piccole imbarcazioni dell'inesauribile esercito di potenziali immigrati clandestini.;MIGRA
Fra gli arrestati per i disordini figurano anche egiziani, e siriani. Questi fanno parte delle schiere di immigrati arabi e africani che competono con la popolazione per un posto di lavoro, creando malcontento;MIGRA
Oggi si disegnano piuttosto scenari da incubo: saremo presto un continente di vecchi, terreno di conquista per orde di immigrati di ogni razza e colore, una nazione senza identità, cultura e civiltà proprie;MIGRA
Le orde e poi le torme di immigrati, come definisce l'alto magistrato un vasto fenomeno sociale, portano con sé una forte delinquenza organizzata, attirata in Italia da leggi permissive.;MIGRA
