Sentence,Metaphor
"But through the intervention of a classically trained but alternative-seeking American psychiatrist, nearly 10,000 people there have been taught techniques to reduce anger, ease family tensions and give them a sense of control in an environment known for helplessness",NONE
"Stamane, specie al porto, dovunque le operazioni furono arrestate. L'ostruzionismo acquistò carattere-di vera, gravità quando fu applicato all'arrivo del piroscafo Hamburg dell'America, carico di 1200 emigranti, i quali non potettero ancora uscire dalla sala di visita.",MIGRA
"l'installarsi di decine di criminali immigrati nelle soffitte del suo condominio, e la completa sordità delle istituzioni cittadine.",MIGRA
"Officials say more than 600 Arab and Muslim illegal immigrants were deported during the first wave of expulsions after Sept. 11. But the Justice Department stopped releasing figures after the number of arrested immigrants surged to 1,200, and officials have declined to give complete statistics for that period. Another wave of deportations began last year after officials said they planned to find and arrest illegal immigrants who pose security threats and already have deportation orders.",MIGRA
New York -alienists asked the Washington authorities for stricter regulations to keep out insane immigrants,MIGRA
"Some persons believe that the ebb and flow of immigrants during periods of prosperity and hard times is good for the country— that it is a safety valve through which dangerous and explosive elements escape, to the peace of society and the welfare of the state",MIGRA
". Mentre gli immigrati delinquenti meritano di essere trattati come gli italiani delinquenti. Anche perché tutti sanno che spesso fra l'una e l'altra delinquenza c'è uno stretto intreccio, quindi 190 una collaborazione sempre più stretta tra le nostre forze di sicurezza e quelle dei nuovi partner europei è altrettanto necessaria.",MIGRA
"Archbishop Ireland, of st. Paul, one of the leading spirits in the federation, has told to a close friends that while he favours a discrete sifting of the Immigrants flocking into the country, he will not favour a radical change In the law. His public utterances have led other leaders in the federation to believe that he might favour preventing immigrants without prospects tarrying in large centres like New York, Chicago, San Francisco",MIGRA
"General Charles H. T. Taylor, in comparing New York and Chicago, said: ""New York has a large population and a commanding position, but it is engaged in digesting Immigrants from all climes and the newly rich from other sections of the country.",MIGRA
"Nella nostra comunità abbiamo 105.000, non pochi, 105.000 casi positivi accertati. Senza considerare anche i casi di contagiati asintomatici non accertati che secondo ragionevoli proiezioni statistiche sarebbero anche molti di più.",NONE
"Gli americani possono permettersi di fare la voce grossa, rischiano ben poco sia in termini di invasione di immigrati sia in termini di rischio di trovarsi con i rubinetti chiusi",MIGRA
"Of that group, more than 3,000 people have been arrested. Officials say they cannot say how many of those Arab and Muslim men have been deported.",NONE
"Dice il sindaco De Rubeis: ""Decidano cosa farne. Noi non vorremmo che riaprisse, ma questo è possibile solo se si riesce a bloccare il flusso di migranti all'origine: perché se invece li fanno arrivare fin qui, certo non possiamo ritrovarci come nel 2011 con migliaia di tunisini e libici liberi e in giro per le nostre strade"".",MIGRA
They were overworked then. The following day about five thousand aliens were in port,NONE
"Popularity has been a double-edged sword in Flushing, Queens, one of the city's most diverse neighbourhoods. Business owners welcome the droves of people who descend on its downtown sidewalks in search of scarves, massages and melons, as well as ginseng that can run a few hundred dollars an ounce",NONE
"Considerato che, commettendo il lavoro a case estere, oltre a recare danno non lieve all'industria italiana, si fanno risentire gravissime conseguenze alla ricchezza nazionale, e soprattutto alla classe lavoratrice, che, specialmente nel nostro Paese, attraverso, una crisi continua di lavoro, tanto e vero che precisamente l'Italia è la nazione che dà il maggior contingente di emigranti, che di anno in anno va aumentando, cercando in terre straniere quel lavoro e quel pane che la patria nega loro",MIGRA
"This year's crop of North American immigrants comes from 33 states and 4 Canadian provinces, and 98 percent of the families have at least one member with an undergraduate or postgraduate degree.",MIGRA
Ma forse la vera novità è quella dell'apertura di sedi distaccate del Collocamento presso le ambasciate italiane all'estero per gestire la massa indistinta di immigrati in cerca di lavoro. ,MIGRA
